Date;Open*;Close**;Market Cap
1.05.2018;0,556414;0,577077;481433412
2.05.2018;0,575133;0,697526;581919436
3.05.2018;0,733259;0,815141;680041161
4.05.2018;0,839145;0,801007;668249702
5.05.2018;0,798926;0,789487;658639004
6.05.2018;0,78953;0,748374;624339990
7.05.2018;0,748631;0,775338;646835031
8.05.2018;0,775386;0,743799;620523241
9.05.2018;0,739774;0,710575;592805721
10.05.2018;0,710792;0,642644;536133469
11.05.2018;0,64687;0,577102;481454269
12.05.2018;0,57579;0,574128;478973174
13.05.2018;0,573967;0,618336;515854228
14.05.2018;0,630726;0,624987;521402905
15.05.2018;0,622495;0,570059;475920597
16.05.2018;0,568568;0,555121;463449428
17.05.2018;0,555707;0,517768;432264828
18.05.2018;0,518;0,520917;434893808
19.05.2018;0,522127;0,517208;431797305
20.05.2018;0,517648;0,532384;444467171
21.05.2018;0,532782;0,531322;443580548
22.05.2018;0,531115;0,510563;426249647
23.05.2018;0,505633;0,47352;395323854
24.05.2018;0,473256;0,478798;399730256
25.05.2018;0,479146;0,472034;394083249
26.05.2018;0,47158;0,464427;387732454
27.05.2018;0,464329;0,477856;401036825
28.05.2018;0,479164;0,464292;389653347
29.05.2018;0,465621;0,528271;443347211
30.05.2018;0,529135;0,641308;538212609
31.05.2018;0,648529;0,608989;511089146
1.06.2018;0,609355;0,618659;519204616
2.06.2018;0,617899;0,61899;519482406
3.06.2018;0,618547;0,624821;524376026
4.06.2018;0,623927;0,58582;491644748
5.06.2018;0,585776;0,586887;492540220
6.06.2018;0,587052;0,57937;486231638
7.06.2018;0,579311;0,568808;477367564
8.06.2018;0,569384;0,547897;459818174
9.06.2018;0,548056;0,521541;437699112
10.06.2018;0,522428;0,434229;364423214
11.06.2018;0,440202;0,453605;380684367
12.06.2018;0,453389;0,402544;337831832
13.06.2018;0,409486;0,369089;309754991
14.06.2018;0,373982;0,392986;329810357
15.06.2018;0,393366;0,382869;321319745
16.06.2018;0,382363;0,381962;320558553
17.06.2018;0,38222;0,380121;319013508
18.06.2018;0,379933;0,386356;324246182
19.06.2018;0,386958;0,384456;322651622
20.06.2018;0,384587;0,36864;309378171
21.06.2018;0,369609;0,361935;303751053
22.06.2018;0,361778;0,31335;262976481
23.06.2018;0,313783;0,30885;259199892
24.06.2018;0,30889;0,284483;238750082
25.06.2018;0,283894;0,337388;283150180
26.06.2018;0,336665;0,293621;246419075
27.06.2018;0,293389;0,296054;248460951
28.06.2018;0,296145;0,279116;234245870
29.06.2018;0,278874;0,309978;260146557
30.06.2018;0,309076;0,362737;304424125
1.07.2018;0,363117;0,33677;282631528
2.07.2018;0,335099;0,376438;315922580
3.07.2018;0,37671;0,344596;289199436
4.07.2018;0,344973;0,357754;300242182
5.07.2018;0,358182;0,347445;291590437
6.07.2018;0,347356;0,362618;304324256
7.07.2018;0,362201;0,361004;302969719
8.07.2018;0,361292;0,350903;294492536
9.07.2018;0,350793;0,337425;283181232
10.07.2018;0,333659;0,298344;250382815
11.07.2018;0,299019;0,299424;251289197
12.07.2018;0,299829;0,282502;237087543
13.07.2018;0,28286;0,278421;233662597
14.07.2018;0,278417;0,286745;240648447
15.07.2018;0,286788;0,29541;247920479
16.07.2018;0,295509;0,310836;260866626
17.07.2018;0,310837;0,329595;316161367
18.07.2018;0,329924;0,331437;317928291
19.07.2018;0,332682;0,336967;323232899
20.07.2018;0,336868;0,300084;287853176
21.07.2018;0,299913;0,306769;294265709
22.07.2018;0,307065;0,316282;303390978
23.07.2018;0,316603;0,296899;284797991
24.07.2018;0,296815;0,301902;289597078
25.07.2018;0,29945;0,301452;289165419
26.07.2018;0,301357;0,295588;283540424
27.07.2018;0,303879;0,304673;292255138
28.07.2018;0,30588;0,305468;293017735
29.07.2018;0,307555;0,303159;290802845
30.07.2018;0,30341;0,290778;278926470
31.07.2018;0,290927;0,268153;257223620
1.08.2018;0,268526;0,258264;247737676
2.08.2018;0,25845;0,240374;230576837
3.08.2018;0,240369;0,226499;217267354
4.08.2018;0,226527;0,229463;220110547
5.08.2018;0,229858;0,229025;219690399
6.08.2018;0,229109;0,219376;210434673
7.08.2018;0,219119;0,205319;196950608
8.08.2018;0,205091;0,186936;179316863
9.08.2018;0,187059;0,193681;185786950
10.08.2018;0,193453;0,172633;165596824
11.08.2018;0,174998;0,167819;160979033
12.08.2018;0,167187;0,162438;155817352
13.08.2018;0,162847;0,138317;132679476
